cell_id,dataset,celltype,leiden,leiden_named,n_proteins_identified,intensity_max,intensity_min_detected,intensity_median,dynamic_range_log10
[520] DCT_1cell_WISHDIA_P2_0145.htrms.PG.Quantity,dct758,ProLIF,14,DCT1,586,30257.947265625,57.62140655517578,228.18151092529297,2.7202556063156598
[214] DCT_1cell_WISHDIA_P1_0218.htrms.PG.Quantity,dct758,ProLIF,18,DCT1,671,22903.8359375,51.24706268310547,209.36328125,2.650239246051741
[126] DCT_1cell_WISHDIA_P1_0130.htrms.PG.Quantity,dct758,DCT1,19,DCT1,515,27286.029296875,53.91701126098633,237.637451171875,2.7042145308037795
[407] DCT_1cell_WISHDIA_P2_0032.htrms.PG.Quantity,dct758,DCT2,17,DCT1,586,31372.849609375,48.04963302612305,210.32234954833984,2.814863892503182
[143] DCT_1cell_WISHDIA_P1_0147.htrms.PG.Quantity,dct758,ProLIF,8,ProLIF,841,24217.7734375,43.483768463134766,187.38124084472656,2.7458070373584027
[242] DCT_1cell_WISHDIA_P1_0246.htrms.PG.Quantity,dct758,ProLIF,20,ProLIF,883,22157.20703125,35.558570861816406,167.32345581054688,2.7945707177772894
[699] DCT_1cell_WISHDIA_P2_0324.htrms.PG.Quantity,dct758,ProLIF,29,ProLIF,819,26973.494140625,44.463050842285156,186.11160278320312,2.7829379499113482
[247] DCT_1cell_WISHDIA_P1_0251.htrms.PG.Quantity,dct758,ProLIF,9,ProLIF,735,21983.390625,45.69120788574219,210.55360412597656,2.6822620378443385
[234] DCT_1cell_WISHDIA_P1_0238.htrms.PG.Quantity,dct758,DCT1,4,DCT1,153,47132.34765625,106.27395629882812,377.8316345214844,2.646892223934642
[129] DCT_1cell_WISHDIA_P1_0133.htrms.PG.Quantity,dct758,ProLIF,8,ProLIF,841,33792.30078125,39.24187088012695,190.04226684570312,2.9350680576826456
[623] DCT_1cell_WISHDIA_P2_0248.htrms.PG.Quantity,dct758,DCT2,29,ProLIF,775,34063.62890625,46.54046630859375,202.60733032226562,2.864460182505182
[501] DCT_1cell_WISHDIA_P2_0126.htrms.PG.Quantity,dct758,DCT1,30,DCT1,755,30368.306640625,49.27055740356445,184.13162231445312,2.789833100483097
[225] DCT_1cell_WISHDIA_P1_0229.htrms.PG.Quantity,dct758,ProLIF,6,DCT1,731,25494.677734375,46.392032623291016,233.85452270507812,2.7400061254961967
[355] DCT_1cell_WISHDIA_P1_0359.htrms.PG.Quantity,dct758,DCT1,3,DCT1,323,24187.46875,64.34465789794922,260.70709228515625,2.575077925057065
[141] DCT_1cell_WISHDIA_P1_0145.htrms.PG.Quantity,dct758,DCT2,7,DCT2,779,33239.6484375,48.508663177490234,193.34088134765625,2.835837115459205
[324] DCT_1cell_WISHDIA_P1_0328.htrms.PG.Quantity,dct758,ProLIF,19,DCT1,442,347225.0,63.69208526611328,323.8671417236328,3.7365255187499584
[458] DCT_1cell_WISHDIA_P2_0083.htrms.PG.Quantity,dct758,DCT2,14,DCT1,624,57857.671875,59.03761291503906,203.68143463134766,2.9912321649469207
[226] DCT_1cell_WISHDIA_P1_0230.htrms.PG.Quantity,dct758,ProLIF,21,ProLIF,766,26582.51953125,47.42353439331055,194.9308853149414,2.7486022235842005
[309] DCT_1cell_WISHDIA_P1_0313.htrms.PG.Quantity,dct758,DCT2,16,DCT2,996,20889.115234375,40.37187194824219,163.3491973876953,2.713841158593022
[658] DCT_1cell_WISHDIA_P2_0283.htrms.PG.Quantity,dct758,ProLIF,30,DCT1,726,35199.44921875,43.691734313964844,197.8230438232422,2.9061365838560302
[606] DCT_1cell_WISHDIA_P2_0231.htrms.PG.Quantity,dct758,DCT1,13,DCT1,535,33968.15234375,62.45414733886719,252.8294219970703,2.735510641105362
[750] DCT_1cell_WISHDIA_P2_0375.htrms.PG.Quantity,dct758,ProLIF,6,DCT1,683,34052.45703125,50.75352096557617,230.67922973632812,2.826682277297206
[100] DCT_1cell_WISHDIA_P1_0104.htrms.PG.Quantity,dct758,DCT2,10,ProLIF,659,20873.37109375,48.357994079589844,212.6230010986328,2.6351243164603257
[676] DCT_1cell_WISHDIA_P2_0301.htrms.PG.Quantity,dct758,DCT1,22,ProLIF,700,39413.796875,46.2985954284668,212.1342010498047,2.930080458131958
[583] DCT_1cell_WISHDIA_P2_0208.htrms.PG.Quantity,dct758,ProLIF,23,DCT2,1194,15724.7548828125,28.43316650390625,125.89625930786133,2.7427586561300177
